"position","full_name","display_name","total_score","score_display","movement","earnings","amateur","athlete_id","athlete_uid","tournament_name","event_id"
70,"Phil Mickelson","Phil Mickelson",149,"+5",0,NA,FALSE,"308","s:1100~l:1106~a:308","Masters Tournament","401703504"
71,"Brooks Koepka","Brooks Koepka",149,"+5",0,NA,FALSE,"6798","s:1100~l:1106~a:6798","Masters Tournament","401703504"
72,"Cameron Smith","Cameron Smith",149,"+5",0,NA,FALSE,"9131","s:1100~l:1106~a:9131","Masters Tournament","401703504"
73,"Austin Eckroat","Austin Eckroat",150,"+6",0,NA,FALSE,"4425898","s:1100~l:1106~a:4425898","Masters Tournament","401703504"
74,"Nicolai Højgaard","Nicolai Højgaard",150,"+6",0,NA,FALSE,"11250","s:1100~l:1106~a:11250","Masters Tournament","401703504"
75,"Kevin Yu","Kevin Yu",150,"+6",0,NA,FALSE,"4349547","s:1100~l:1106~a:4349547","Masters Tournament","401703504"
76,"Jhonattan Vegas","Jhonattan Vegas",150,"+6",0,NA,FALSE,"1030","s:1100~l:1106~a:1030","Masters Tournament","401703504"
77,"Robert MacIntyre","Robert MacIntyre",150,"+6",0,NA,FALSE,"11378","s:1100~l:1106~a:11378","Masters Tournament","401703504"
78,"Hiroshi Tai","Hiroshi Tai",150,"+6",0,NA,TRUE,"5214992","s:1100~l:1106~a:5214992","Masters Tournament","401703504"
79,"José María Olazábal","José María Olazábal",151,"+7",0,NA,FALSE,"329","s:1100~l:1106~a:329","Masters Tournament","401703504"
80,"Christiaan Bezuidenhout","Christiaan Bezuidenhout",151,"+7",0,NA,FALSE,"9243","s:1100~l:1106~a:9243","Masters Tournament","401703504"
81,"Cameron Young","Cameron Young",151,"+7",0,NA,FALSE,"4425906","s:1100~l:1106~a:4425906","Masters Tournament","401703504"
82,"Patton Kizzire","Patton Kizzire",152,"+8",0,NA,FALSE,"3980","s:1100~l:1106~a:3980","Masters Tournament","401703504"
83,"Lucas Glover","Lucas Glover",152,"+8",0,NA,FALSE,"676","s:1100~l:1106~a:676","Masters Tournament","401703504"
84,"Taylor Pendrith","Taylor Pendrith",152,"+8",0,NA,FALSE,"9658","s:1100~l:1106~a:9658","Masters Tournament","401703504"
85,"Will Zalatoris","Will Zalatoris",152,"+8",0,NA,FALSE,"9877","s:1100~l:1106~a:9877","Masters Tournament","401703504"
86,"Thomas Detry","Thomas Detry",153,"+9",0,NA,FALSE,"4837","s:1100~l:1106~a:4837","Masters Tournament","401703504"
87,"Evan Beck","Evan Beck",153,"+9",0,NA,TRUE,"10559","s:1100~l:1106~a:10559","Masters Tournament","401703504"
88,"Cam Davis","Cam Davis",153,"+9",0,NA,FALSE,"10863","s:1100~l:1106~a:10863","Masters Tournament","401703504"
89,"Matthieu Pavon","Matthieu Pavon",154,"+10",0,NA,FALSE,"10596","s:1100~l:1106~a:10596","Masters Tournament","401703504"
90,"Laurie Canter","Laurie Canter",154,"+10",0,NA,FALSE,"5550","s:1100~l:1106~a:5550","Masters Tournament","401703504"
91,"Jose Luis Ballester","Jose Luis Ballester",154,"+10",0,NA,TRUE,"5152205","s:1100~l:1106~a:5152205","Masters Tournament","401703504"
92,"Thriston Lawrence","Thriston Lawrence",155,"+11",0,NA,FALSE,"9240","s:1100~l:1106~a:9240","Masters Tournament","401703504"
93,"Noah Kent","Noah Kent",155,"+11",0,NA,TRUE,"5276688","s:1100~l:1106~a:5276688","Masters Tournament","401703504"
94,"Ángel Cabrera","Ángel Cabrera",155,"+11",0,NA,FALSE,"65","s:1100~l:1106~a:65","Masters Tournament","401703504"
95,"Nick Dunlap","Nick Dunlap",161,"+17",0,NA,FALSE,"4832046","s:1100~l:1106~a:4832046","Masters Tournament","401703504"
